Institution,Year,Sentence_Cleaned,Sentence_Number
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"Biological materials include organisms, transgenic animals, plants and plant varieties, cells, cell lines, viruses, cell products, cloned DNA, DNA sequences, nucleic acid and protein sequences, transgenic animals, mapping information, and crystallographic coordinates.",21
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"APPLICABILITY This Patent and Tangible Research Policy (?€?Patent Policy?€?) is applicable to all faculty and other EHRA employees, SHRA employees, emeritus faculty, adjunct faculty, visiting faculty or other visitors using research facilities (including but not limited to individuals on sabbatical from another university or research facility), post-doctoral employees, graduate students, and undergraduate students participating in research as employees or otherwise.",22
120s_NorthCarolinaStateUniversity_IPPolicy,2011,OWNERSHIP University Ownership.,23
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"All INVENTIONS arising from research conducted with University-administered funds, work within the INVENTOR?€?S SCOPE OF EMPLOYMENT, or the SUBSTANTIAL USE OF UNIVERSITY RESOURCES are owned by the University.",24
120s_NorthCarolinaStateUniversity_IPPolicy,2011,Sponsored Research/University-Administered Funds.,25
120s_NorthCarolinaStateUniversity_IPPolicy,2011,Federal law requires institutions receiving federal research funding to have policies requiring the disclosure and assignment to the institution of all INVENTIONS arising from federally funded research.,26
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"To ensure compliance with the terms of federal contracts and grants, as well as those of other funding sources including industry, it is the University?€?s policy to require disclosure and assignment of all INVENTIONS which are conceived or reduced to practice in the course of performing research with University-administered funds, regardless of the source of such funds or the employment status of the INVENTOR.",27
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"All INVENTIONS which are conceived or reduced to practice by INVENTORS within their SCOPE OF EMPLOYMENT, or from work carried out on University time or expense, are the property of the University.",29
120s_NorthCarolinaStateUniversity_IPPolicy,2011,SUBSTANTIAL USE OF UNIVERSITY RESOURCES.,30
120s_NorthCarolinaStateUniversity_IPPolicy,2011,All INVENTIONS conceived or first reduced to practice by anyone at University or on behalf of University making SUBSTANTIAL USE OF UNIVERSITY RESOURCES are the property of the University.,31
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"Assignment of INVENTIONS is a condition of employment, enrollment, or access to University laboratories/research facilities.",33
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"In the case of University ownership pursuant to University Ownership through SUBSTANTIAL USE OF UNIVERSITY RESOURCES, INVENTORS hereby irrevocably assign to the University all right, title, and interest in and to the INVENTIONS and related patent applications and patents, and shall cooperate fully with the University in the preparation and prosecution of patent applications and patents.",34
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"Faculty and other EHRA employees, SHRA employees, emeritus faculty, adjunct faculty, visiting scholars/scientists, post-doctoral employees, graduate students, and undergraduate students participating in research as employees or otherwise shall sign a Patent Agreement.",36
120s_NorthCarolinaStateUniversity_IPPolicy,2011,Signature is a condition of employment and/or matriculation.,37
120s_NorthCarolinaStateUniversity_IPPolicy,2011,Students who are pursuing only non-research related studies are not obligated to sign a Patent Agreement.,38
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"Students will own their INVENTIONS unless the INVENTION is made in the course of the student?€?s University employment or the INVENTION is conceived or reduced to practice with University-administered funds, SUBSTANTIAL USE OF UNIVERSITY RESOURCES, or another INVENTOR who has a duty to make assignment or has made assignment to the University.",40
120s_NorthCarolinaStateUniversity_IPPolicy,2011,Students assign University-owned INVENTIONS in accordance with paragraph 4.6 and are entitled to the same royalty sharing rights as provided to faculty/employee INVENTORS.,41
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"Occasionally, the University may ask students to agree to University ownership of INVENTIONS due to the access to and/or use of University or third-party proprietary information as part of a particular group project.",43
120s_NorthCarolinaStateUniversity_IPPolicy,2011,Students will be notified of this condition in advance or at the time of enrollment and will be required to sign a Participation Agreement.,44
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"Should the course be non-elective, the student shall have the option of taking part in another group project in that class where the assignment of student INVENTIONS is not required.",45
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"Conversely, the University may offer courses or programs to promote entrepreneurship, innovation, and economic development.",47
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"With the advance approval of the Intellectual Property Committee (IPC) for these courses/programs, participation by students in these activities will not trigger a change in ownership for INVENTIONS either previously conceived by the students or conceived during their participation.",48
120s_NorthCarolinaStateUniversity_IPPolicy,2011,Any inventive contribution by an employee of the University is subject to Patent Policy.,49
120s_NorthCarolinaStateUniversity_IPPolicy,2011,Requests related to a Special Program Exemption should be made in writing to the Vice Chancellor for Research and Innovation.,50
120s_NorthCarolinaStateUniversity_IPPolicy,2011,CONSULTING AND THE PATENT POLICY Conflicts of Interest.,51
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"The Board of Governors Policy on Conflicts of Interest and Commitment, UNC Policy Manual, 300.2.2, recognizes the value to the University of permitting faculty and EHRA employees to engage in professional consulting.",52
120s_NorthCarolinaStateUniversity_IPPolicy,2011,This activity can enhance the competence and expertise of faculty (includes EHRA employees for purposes of this Article 5) and may aid in the development of University intellectual property and university-industry relations.,53
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"However, private consulting may create a conflict of interest when the company?€?s consulting contract requires that faculty assign intellectual property or accept other terms inconsistent with the individual?€?s University employment contract.",54
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"In all consulting relationships, employees have a duty to ensure that their employment responsibilities to the University are not compromised in a consulting agreement.",55
120s_NorthCarolinaStateUniversity_IPPolicy,2011,Employees may not sign patent agreements with outside entities or individuals that may abrogate the University?€?s rights as stated in the Patent Policy or as provided in any sponsored research agreement or grant.,56
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"For example, faculty and employees should not accept contract terms that prohibit publication of proprietary data in a technical area that overlaps with his/her University research or the reporting of results to research sponsors, preclude the faculty or employee from assigning to the University intellectual property owned by the University, or are designed to circumvent University policies and procedures for disclosure of INVENTIONS.",57
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"It is the responsibility of the University INVENTOR to disclose all INVENTIONS to which the Patent Policy applies (under Articles 3 and 4 above) to the OTCNV at NC State, whether or not the INVENTIONS are owned by NC State.",59
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"However, in the case of an INVENTION conceived or first reduced to practice pursuant to a consulting agreement, the disclosure may be non-proprietary as long as the INVENTOR provides sufficient relevant information for NC State to make an ownership determination.",60
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"Ownership of INVENTIONS arising under consulting agreements will be determined in accordance with the Patent Policy of NC State and, to the extent that any terms of a consulting agreement are inconsistent with the NC State Patent Policy, the NC State Policy will control.",61
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"However, the University will make no claim to an INVENTION if the INVENTION is neither made nor conceived under circumstances involving NC State administered funds, resources or personnel other than the consultant and is either made in the course of performance of the services described in a written consulting agreement or made in response to a problem posed by the company or based on company proprietary information provided to the consultant.",62
120s_NorthCarolinaStateUniversity_IPPolicy,2011,INVENTION ADMINISTRATION Disclosure.,63
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"INVENTORS will file invention disclosures for all INVENTIONS covered by the Patent Policy with the OTCNV when, in the judgment of the INVENTOR, there is reason to believe that the INVENTION is patentable or otherwise protectable under intellectual property laws of the United States or has commercial value.",64
120s_NorthCarolinaStateUniversity_IPPolicy,2011,The disclosure will not be considered complete until all required information has been provided.,65
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"Since publication or public use can be an immediate bar to patentability in most foreign countries, it is the duty of the inventor to report to the OTCNV any publication, submission of manuscript for publication, sale, public use, or plans for sale or public use, of an INVENTION sufficiently in advance so that the OTCNV can consider measures to protect the University?€?s intellectual property interests.",66
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"The OTCNV will acknowledge in writing to the INVENTOR, as well as the INVENTOR?€?S Department/Unit, College and College IPC representative, the receipt of disclosures, and will conduct disclosure review in accordance with its standard operating procedure.",68
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"The OTCNV is responsible for evaluating INVENTIONS and determining whether to administer such INVENTIONS by undertaking actions it deems appropriate to protect, license, or otherwise commercialize them.",69
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"The OTCNV will review the INVENTION disclosure, confer with the INVENTOR(S) and members of the IPC as necessary, and report in writing to the INVENTOR/S its determination whether the University will retain title and pursue patent protection and/or commercialization.",71
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"The INVENTOR, upon OTCNV?€?s request, shall sign all contracts, assignments, declarations, waivers or other legal documents necessary to vest all INVENTION rights in the University or its assignees, including complete assignment of any patent, patent applications, trademarks, or copyrights relating to the INVENTION.",73
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"In addition, the INVENTOR shall cooperate with OTCNV and patent counsel if the University files for intellectual property protection.",74
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"The OTCNV may decline or cease INVENTION administration due to lack of resources, uncertainty of patent protection, lack of commercial interest, or other reasons OTCNV deems appropriate.",76
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"In such case, OTCNV may assign the INVENTION to the INVENTOR(S), subject to any rights retained by the United States Government or other sponsor.",77
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"In addition, the INVENTOR shall agree that the University reserves a royalty-free, non-exclusive, irrevocable right to use the INVENTION for research and educational purposes, to allow other academic and non-profit institutions similar use on similar terms, and to indemnify the University against any liability arising from commercialization.",78
120s_NorthCarolinaStateUniversity_IPPolicy,2011,All requests by INVENTOR(S) related to assignment of INVENTION rights to the INVENTOR(S) must be submitted in writing to the OTCNV.,79
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"REVENUE SHARING It is the policy of NC State to distribute any NET REVENUES received from commercialization of INVENTIONS among the INVENTOR, the INVENTOR?€?S College and Department/Unit, and the Patent Trust Fund.",80
120s_NorthCarolinaStateUniversity_IPPolicy,2011,NET REVENUES do not include funds received as gifts or for the support of sponsored research.,81
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"NET REVENUE shall be distributed as follows: 40% to INVENTORS, 5% to the College (to be used for activities that support innovation and entrepreneurship), 5% to the Department/Unit (to be used for activities that support innovation and entrepreneurship), and 50% to the PATENT TRUST FUND.",83
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"Examples of innovation and entrepreneurship support include, but are not limited to, research investments to support applied research with commercial applications, faculty start-up packages, multi-user or research service laboratory equipment purchases, research cost share, and assisting the OTCNV with expenses associated with patent filings.",84
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"When two or more co-inventors are associated with an INVENTION, the applicable percentage of NET REVENUE shall be divided equally unless all co-inventors, prior to first distribution of NET REVENUE, establish in a written agreement that all INVENTORS agree to an alternative share of royalties.",86
120s_NorthCarolinaStateUniversity_IPPolicy,2011,Request for a non-equal distribution of NET REVENUE must be submitted in writing to the Executive Director of the OTCNV.,87
120s_NorthCarolinaStateUniversity_IPPolicy,2011,In no event may the amount payable by the University to the INVENTORS in the aggregate be less than 15% of GROSS REVENUE received for an INVENTION.,89
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"To the extent practicable, TANGIBLE RESEARCH MATERIALS shall be treated as INVENTIONS for purposes of ownership and royalty sharing.",91
120s_NorthCarolinaStateUniversity_IPPolicy,2011,The OTCNV will promulgate rules regarding distribution of revenue for TANGIBLE RESEARCH MATERIALS that are not the subject of a patent application.,92
120s_NorthCarolinaStateUniversity_IPPolicy,2011,The OTCNV shall adopt such other rules and procedures as needed to administer royalty distribution equitably and consistently with UNC System and University policies.,94
120s_NorthCarolinaStateUniversity_IPPolicy,2011,INTELLECTUAL PROPERTY COMMITTEE Appointment.,95
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"The Chancellor shall appoint an Intellectual Property Committee (IPC), which shall serve as an advisory body to the Vice Chancellor for Research and Innovation and the OTCNV.",96
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"The IPC shall be chaired by the Vice Chancellor for Research and Innovation and shall consist of university representation of faculty, staff and students, chosen for diversity of scientific disciplines and commercial expertise.",97
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"The IPC may be asked to review, recommend and advise the University on matters relating to the Patent Policy, serve as an advisory body to the Vice Chancellor for Research and Innovation on all matters relating to innovation, and serve as a committee to which an inventor may appeal OTCNV decisions.",99
120s_NorthCarolinaStateUniversity_IPPolicy,2011,The OTCNV staff may seek advice from individual IPC members and may consult with scientific and business professionals outside the University.,100
120s_NorthCarolinaStateUniversity_IPPolicy,2011,"When any employee or student disputes a decision taken in application of the Patent Policy by the OTCNV, he or she may file a written appeal to the Vice Chancellor for Research and Innovation.",102
120s_NorthCarolinaStateUniversity_IPPolicy,2011,University INVENTORS shall be entitled to appear before the IPC and present evidence with respect to any matter specifically involving the application of this policy to them or their work.,103
120s_NorthCarolinaStateUniversity_IPPolicy,2011,The IPC will review the matter and make a recommendation to the Vice Chancellor for Research and Innovation.,104
120s_NorthCarolinaStateUniversity_IPPolicy,2011,The Vice Chancellor for Research and Innovation will conduct any further investigation deemed necessary and will issue the final university written decision to the employee or student and the IPC.,105
120s_NorthCarolinaStateUniversity_IPPolicy,2011,Exceptions to this Policy may be approved by the Vice Chancellor for Research and Innovation if consistent with UNC policies and federal and state law.,107
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Policies, Regulations and Rules Authority Board of Trustees Title Patent Procedures Classification POL10.00.1 PRR Subject Research Contact Info Vice Chancellor for Research and Innovation (patent) 919-515-2117 and Provost and Associate Vice Chancellor for Academic Affairs (copyright) 919-515-2195 History: First Issued: May 11, 1984.",1
120s_NorthCarolinaStateUniversity_IPPolicy,2003,Additional History Information.,3
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Related Policies: NCSU REG10.00.3, Royalty Sharing under NCSU's Patent Policy and Procedures, NCSU REG01.25.3, Copyright Regulation Additional References: UNC Code: Appendix II, Speck v NC Dairy FDN, 311 N.C. 679 (1984) and United States Copyright Statutes.",4
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"PREAMBLE North Carolina State University (hereinafter referred to as ?€?NCSU?€? or the ?€?University?€?) is dedicated to teaching, research and extending knowledge to the public.",5
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"It is the policy of the University to carry out its scholarly work in an open and free atmosphere and to publish results obtained therefrom freely, limited only by a short time delay in cases in which it is necessary to prepare and file patent applications.",6
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Patentable inventions sometimes arise from the research activities of NCSU faculty, staff and students using University facilities, either wholly or in part.",7
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"As a public service institution, the University has an interest in assuring the utilization of such inventions for the public good.",8
120s_NorthCarolinaStateUniversity_IPPolicy,2003,Protection must be provided for at least some of these inventions through patents to encourage their development and marketing.,9
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Patents and their commercial exploitation, however, represent only a small part of the benefits accruing from either publicly or privately sponsored research.",10
120s_NorthCarolinaStateUniversity_IPPolicy,2003,A portion of the research conducted by the University is supported by government and a portion by private industry.,11
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Service to the public, including private industry, is an integral part of the University's mission.",12
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"As a public institution, the University, in its agreements with private industry or other private organizations, must consider the interests of the general public.",13
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"The rights and privileges set forth in agreements or contracts, with respect to inventions developed as a result of research partly or wholly financed by private parties, must be fair and just to the inventor(s), the sponsor and the public.",14
120s_NorthCarolinaStateUniversity_IPPolicy,2003,Research should be undertaken by the University under support from private parties only if it is consistent with and complementary to the University's goals and responsibilities to the public.,15
120s_NorthCarolinaStateUniversity_IPPolicy,2003,PURPOSES The NCSU Patent Policy and Procedures (hereafter referred to as the ?€?Procedures?€?) are designed to implement the Patent and Copyright Policies of The University of North Carolina (hereafter referred to as the ?€?UNC Policy?€?).,16
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"The Procedures incorporate the interests of the faculty, staff, and students, the institution, and the sponsors of research, because in many cases those interests encourage innovation and assure broad dissemination of the results of research.",17
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"These Procedures are designed to stimulate and recognize creativity among the faculty, staff, and students, and to establish an institutional process that is flexible enough to accommodate the different types of research and innovative work conducted at a comprehensive research university such as NCSU.",18
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Equity and fairness are goals of the Procedures in all respects, not only in the distribution of revenue, but also in the recognition of inventors.",19
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Finally, these Procedures should provide an efficient and timely mechanism for patent protection of innovations generated in whole or in part by University employees.",20
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"The University employs the Director of Technology Transfer, who is the manager and administrator of the NCSU Patent Policy and Procedures on behalf of the University, and associated staff, whose duties include assisting faculty, staff and students in matters related to inventions.",21
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"OWNERSHIP As defined by the UNC Policy, to which these Procedures are expressly subject, NCSU owns all inventions of University personnel and students, that are made as a part of or as a result of University research, activities within the scope of the inventor's employment by, or in official association with, the University, and activities involving the use of University time, facilities, staff, materials, University information not available to the public, or funds administered by the University.",22
120s_NorthCarolinaStateUniversity_IPPolicy,2003,It is the role of the Intellectual Property Committee to determine ownership of inventions.,23
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"All University faculty, staff, and students will disclose inventions according to these Procedures, whether the invention(s) fall into the categories above or not, and all relevant information pertaining to ownership issues will be included in the disclosure to permit evaluation by the Intellectual Property Committee.",24
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Faculty, staff, and students whose invention disclosures demonstrate that an invention has been made on their own time, outside the scope of their employment or association with the University, and without University facilities, materials, or resources will own such inventions.",25
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"However, even in these cases, the inventor(s) may, at their discretion, submit such an invention to the University for possible patenting and/or commercial exploitation and management under terms to be agreed upon by the inventor and the University.",26
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"The provisions of these Procedures are subject to any applicable laws, regulations or specific provisions of the grants or contracts which govern the rights in inventions made in connection with sponsored research.",27
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Under the terms of certain contracts and agreements between NCSU and various agencies of government, private and public corporations, and private interests, NCSU may be required to negotiate agreements to provide the sponsor with intellectual property rights in NCSU inventions.",28
120s_NorthCarolinaStateUniversity_IPPolicy,2003,NCSU retains the right to enter into such agreements whenever such action is considered to be both in its best interest and in the public interest.,29
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Ordinarily, the University will not agree to grant rights in future inventions to private corporations or businesses except as set forth in these Procedures.",30
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"All faculty, staff and students engaged in University related or sponsored research shall sign a Patent Agreement, in a format acceptable to the Vice Chancellor for Research and Innovation.",31
120s_NorthCarolinaStateUniversity_IPPolicy,2003,Such Patent Agreements will be filed with the appropriate University department and kept on file with that department.,32
120s_NorthCarolinaStateUniversity_IPPolicy,2003,Students who are pursuing only non-research related studies are not obligated to sign an NCSU Patent Agreement.,33
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"However, if the student makes an invention which is, or may be, subject to University ownership in accordance with the UNC Policy, the student must disclose the invention to the University as provided under these Procedures and the Intellectual Property Committee will determine an equitable resolution of ownership rights.",34
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"RESPONSIBILITIES OF NCSU PERSONNEL NCSU personnel who, either alone or in association with others, make an invention must disclose such inventions to the Vice Chancellor for Research and Innovation or his or her designee.",35
120s_NorthCarolinaStateUniversity_IPPolicy,2003,Receipt of disclosures will be promptly acknowledged and disclosures will be reviewed promptly in accordance with Administrative Regulations promulgated by the Chancellor or Chancellor?€?s designee and in accordance with the Procedures.,36
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"For any invention in which the University has an interest, the inventor, upon request of the Vice Chancellor for Research and Innovation or his or her designee must sign promptly all contracts, assignments, declarations, waivers or other legal documents necessary to vest in the University or its assignees any or all rights of the invention, including complete assignment of any patent, patent applications, trademarks, or copyrights relating to the invention.",37
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"In addition, if the University files any patent, plant variety, or trademark applications on an invention, it is the inventor?€?s obligation to cooperate with the Office of Technology Transfer and the University?€?s designated patent counsel in the prosecution of the patent, plant variety, or trademark application(s).",38
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Such cooperation includes, but is not limited to, consulting with, and providing input to, the Office of Technology Transfer and patent counsel concerning the patent, plant variety, or trademark application(s), and responses to actions, objections, and the like, by the applicable government offices, and promptly and timely signing all assignments, declarations or other documents requested in connection with the prosecution of the patent, plant variety, or trademark application(s).",39
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Before making any distributions of revenue under the Regulation referred to in Section 7.2, below, the amount of any fees or charges incurred by the University because of the inventor?€?s failure or refusal to fulfill the obligations in this Section 4.3 may be deducted from any licensing or other revenue attributable to the invention and credited to the University account from which the fees or charges were paid.",40
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"NCSU personnel may not sign agreements with outside persons or organizations that may abrogate the University's rights and interests either as stated in the UNC Policy, these Procedures, or as provided in any grant or contract funding the research which led in whole or in part to making the invention, without prior authorization, use the name, icon, symbol, or trademark of the University or any of its units in connection with any invention in which the University has an interest, unless expressly authorized to do so, nor sign agreements on behalf of or as authorized representatives of the University, except to the extent authorized to do so under the university?€?s policy on delegation of signature authority.",41
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Faculty teaching courses in which students (graduate or undergraduate) do any work that may reasonably be expected to lead to inventions, such as Senior Design Projects, should inform those students, preferably in the course syllabus, of the existence of the UNC Policy and these Procedures, and that the UNC Policy and these Procedures apply to any inventions arising out of the work done for the class in question.",42
120s_NorthCarolinaStateUniversity_IPPolicy,2003,RECORD-KEEPING U.S. patent law places a premium on witnessed records when two or more parties claim the same invention.,43
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"The date the idea occurred (the ""conception"") and the date it was put into practicable form (""reduced to practice"") are vital.",44
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Equally important in the eyes of the U.S. Patent Office is the ""diligence"" shown by contending inventors.",45
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"They must prove that they regularly and consistently pursued work on the invention, documenting their efforts on a day-to-day basis.",46
120s_NorthCarolinaStateUniversity_IPPolicy,2003,The intent of U.S. patent law is to recognize the inventor(s) who first conceived the invention.,47
120s_NorthCarolinaStateUniversity_IPPolicy,2003,The careful recording of ideas and laboratory data is generally a matter of routine for industrial researchers.,48
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Each entry is complete and up-to-date, signed and witnessed.",49
120s_NorthCarolinaStateUniversity_IPPolicy,2003,This comprises a legal record of the day's work.,50
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Record-keeping is not traditionally so routine for the academic investigator, for he or she may work at odd hours or on weekends, may be in a laboratory, an office or at home, and often lacks easy accessibility to suitable witnesses.",51
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Still, the keeping of a witnessed laboratory notebook is critical.",52
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Additionally, such records can serve as valuable repositories of new ideas.",53
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"As far as is reasonably practical, faculty, staff and students are strongly advised to follow the ""Guidelines for Record-Keeping"" contained in Appendix A.",54
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"THE HANDLING OF A DISCLOSURE When faculty or staff members make an invention, it is their responsibility to discuss the invention with their Department Head, at which time disclosure of the invention should be considered.",55
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Students will first discuss an invention with their advisor, who will assist them in further discussion within the University.",56
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"An invention manager is available in the Office of Technology Transfer to answer questions and to assist faculty, staff, and students in the preparation of disclosures.",57
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"If an employee of the University makes an invention through collaboration with other researchers outside of the University, that employee will promptly disclose the invention to the University in accordance with the Procedures.",58
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"All invention disclosures will be submitted to the employee(s) Department Head(s), who will transmit the disclosure through the Dean of his or her College(s) to the Office of Technology Transfer for consideration by the Intellectual Property Committee (hereafter sometimes referred to as the ?€?Committee?€?).",59
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Upon receiving a disclosure, the Director of the Office of Technology Transfer refers the disclosure to one of several members of the Intellectual Property Committee.",60
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"These committee members will be asked to review the disclosure, with assistance from the Office of Technology Transfer staff, from the point of view of whether or not, based on their knowledge, they believe the invention would be most effectively made available for broad public use and dissemination by commercialization or under a cooperative agreement with a commercial or non-commercial partner.",61
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"The Director of the Office of Technology Transfer may authorize the filing of patent applications based on the disclosure, as deemed necessary by the staff of the Office of Technology Transfer, subject to the availability of funds.",62
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Potential funding sources include, but are not limited to, the University?€?s Patent Trust Fund, a sponsor under the terms of a sponsored research agreement, or a potential licensee of the subject invention.",63
120s_NorthCarolinaStateUniversity_IPPolicy,2003,The Director will report any such authorization to file patent applications at the next scheduled meeting of the Intellectual Property Committee.,64
120s_NorthCarolinaStateUniversity_IPPolicy,2003,Committee members and the Office of Technology Transfer staff will report their recommendations to the Intellectual Property Committee at its meetings.,65
120s_NorthCarolinaStateUniversity_IPPolicy,2003,The Intellectual Property Committee will meet regularly and review the reports of its members.,66
120s_NorthCarolinaStateUniversity_IPPolicy,2003,The inventor shall be allowed to examine materials submitted to the Committee in connection with his or her disclosure and may make a written and oral presentation to the Committee if the Committee finds that such a presentation would be useful.,67
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"The Committee will advise on a disposition of the invention to secure the interests of the University, the inventor, the sponsor (if any), and the public.",68
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Its decision may include, but is not limited to, one or a combination of the following: to submit the disclosure for review by an invention management firm or agent, to make inquiries of potential licensees that may have an interest in the invention, including the financial support of a patent application, where applicable, to conduct a search of published and public databases to evaluate the novelty and utility of the invention, to apply for a patent with University resources, if available (an option with limited application because of financial constraints), to release University rights to the inventor subject to an agreement to protect the interests of the University (under which agreement the University will retain royalty-free license rights to practice the invention for its own purposes), the sponsor, if any, and the public, including an obligation to pay to the University a percentage of future revenue, unless there are exceptional circumstances indicating that such obligation would be inappropriate, to dedicate the invention to the public, and to waive further University interest in the invention.",69
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"The inventor will be notified in writing of the decision of the University concerning costs and/or potential revenue of the invention, whether the University plans to file a patent application, or whether the University will accept the invention for management.",70
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"According to the specific circumstances of each case, the University may choose to file a patent application, a course of action that will allow the University to protect the subject invention.",71
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Upon written request of the inventor(s) and in the Committee?€?s sole discretion, the invention may be released to the inventor(s) if the University decides that it will do none of the following: file a patent application for an invention in which it has rights, license the invention, or dedicate it to the public.",72
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"Where applicable, release of ownership to the inventor will be subject to obtaining the permission of the sponsor of the research that resulted in the invention, if any.",73
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"To the extent it is reasonably able to do so, the Office of Technology Transfer will inform the inventors within one hundred and twenty (120) days of receipt of the invention disclosure (or a mutually agreeable extended time period) regarding the University?€?s decision as to disposition of the invention.",74
120s_NorthCarolinaStateUniversity_IPPolicy,2003,Federal Government regulations require that any invention arising out of federally sponsored research must be offered to the sponsoring agency before offering rights to the inventor(s).,75
120s_NorthCarolinaStateUniversity_IPPolicy,2003,"If an invention is released to the inventor(s), the inventor(s) may not conduct any commercial research or development on that invention at the University or using University resources.",76
